Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2019-06-15,St. Louis Blues parade and rally celebrates team's 'worst to first' season after winning the Stanley Cup,Father's Day: Unforgettable dad moments in sport,Vivianne Miedema: Dutch striker breaks scoring record as Netherlands and Canada progress,Babe Ruth's jersey sold at auction for a record-breaking $5.6 million,Formula E: Mercedes-Benz and Porsche to join new championship,"'I am not a monster, I simply am Amanda,' says Knox on tearful return to Italy",Two teenagers die minutes apart during violent night in London,Will the USWNT continue goalscoring form against Chile?,Boris Johnson might be exactly the Brexit prime minister Brussels needs,London bus attack victim urges fight against all LGBT hate crimes
2019-06-16,Donald Trump: London mayor Sadiq Khan a 'disaster' over spate of violence,USWNT dominates Chile to coast into Women's World Cup last 16,Nazanin Zaghari-Ratcliffe's husband goes on hunger strike outside Iranian Embassy in London,Prix de Diane Longines: Channel storms to victory in Chantilly spectacle,Maurizio Sarri leaves Chelsea to manage Italian champions Juventus,Why even the biggest sports stars battle with life away from the spotlight,What would life be like in a zero-carbon country?,,,
2019-06-17,A pro-migrant German politician was shot dead. Officials now suspect a far-right motive,"Anthony Davis is joining forces with LeBron James, as Pelicans and Lakers reportedly agree to trade",Peder Fredricson clinches home win at first Global Champions Tour in Stockholm,Scammers who posed as George Clooney arrested in Thailand,The Vatican will consider ordaining married men as priests in the Amazon,Prince Harry picks up Diana's mantle on landmine removal,Gary Woodland: How a Special Olympics golfer inspired new US Open champion,Marin Cilic feels he can win more grand slams ... could it happen at Wimbledon next month?,Father of missing backpacker makes tearful appeal for help,Meghan and Harry release new photo of Archie for Father's Day
2019-06-18,Brazil great Marta makes history with 17th World Cup goal,"David Ortiz's condition upgraded to 'good,' his wife says",Boaty McBoatface makes significant climate change discovery on first mission,Czech opposition parties call for government no-confidence vote,"Royal Ascot 2019: Queen Elizabeth II leads royal procession, Prince Harry, Meghan absent",Man who threw milkshake at Nigel Farage ordered to pay suit-cleaning bill,Michel Platini taken into custody over 2022 Qatar World Cup corruption allegations,'No más': The two words that broke boxing great Roberto Duran,'Puppy dog eyes' have evolved to appeal to humans,France beats Nigeria in dramatic Women's World Cup match
2019-06-19,Women's World Cup: Goalkeepers and VAR taking center stage in France,A British church apologized after it asked a boy with autism to leave for making noises during a service,MH17 crash investigators say four suspects face murder charges,An alleged ex-spy is upending Boris Johnson's play for British Prime Minister,Two 14-year-old boys found guilty of murdering schoolgirl in Ireland,Hungry polar bear seen wandering in Russian city hundreds of miles from home,Australia's top court rules sperm donor is 11-year-old's legal parent,Michel Platini 'hurt' by questioning over Qatar 2022 World Cup corruption allegations,White Sox will extend protective netting to foul poles,Pat Vellner aiming to overthrow 'CrossFit King' Mat Fraser
2019-06-20,"The whale skull stumped scientists for years. Now they say it's a rare half-beluga, half-narwhal hybrid",Here's what happened the last time the US and Swedish women's soccer teams met,And then there were two: Boris Johnson and Jeremy Hunt in battle to lead Britain,Meghan and Harry split from joint charity with William and Kate,Four human traffickers jailed for life over death of 71 migrants,Israel Folau looks for $2.1 million in legal battle with Rugby Australia,NBA draft 2019: Zion Williamson era set to begin,African female footballers face uphill battle to play a 'man's game',Hope Solo says 'we need to talk' about VAR as penalty decision costs Scotland,Australian TV show apologizes for 'racist' BTS comment
2019-06-21,Putin halts Russian flights to Georgia,Hayley Turner: Female jockey lands historic win to beat Queen's horse,Georgia's president blames Russia over violent protests,"Women's World Cup: Record-breaking feats, empty seats -- the story so far",Ferrari loses bid to appeal Sebastian Vettel's controversial time penalty,"Bol Bol, son of Manute Bol, slips to 44th in NBA draft, wants to 'prove everyone wrong'",'Wolf Pack' found guilty of rape by Spain's Supreme Court,Frankie Dettori and Stradivarius win Gold Cup at Royal Ascot,Prepare for a soccer binge -- plus the Women's PGA Championship and the College World Series,Sissi: The Brazilian who defied a dictatorship to become a World Cup great
2019-06-22,Boris Johnson in spotlight after reported police call-out to home,Man arrested after hidden camera found in James Bond studio toilets,The Istanbul race is personal for Erdoğan. The result could transform Turkey,,,,,,,
2019-06-23,Once-rivals Magic Johnson and Larry Bird will share the NBA's Lifetime Achievement Award,The 'biggest protest since the fall of Communism' in Prague called for the resignation of the 'Czech Trump',Olympic skating champ and 'Dancing with the Stars' winner Meryl Davis marries her coach's son,Vatican cancels football match with Vienna over anti-abortion protests,Bern E-Prix: Jean Eric-Vergne closes on second straight title after Swiss success,Alexandra Popp marks 100th cap with opener as Germany reaches quarterfinals,Norway beats Australia on penalties after Sam Kerr misses for Matildas,Hundreds of climate protesters stage blockade in German coal mine,Europe to experience 'intense heat' in multi-day heat wave,"Red Sox player David Ortiz is out of intensive care, his wife says"
2019-06-24,Pilot killed as two Eurofighter jets collide in midair,US battles to victory over Spain to reach the quarterfinals of the Women's World Cup,'We wanted to dry the Nazis out': Police and locals spoil German neo-Nazi festival by taking away their beer,Women's World Cup: Referees and VAR under the microscope after dramatic weekend in France,Mysterious explosion in a German cornfield was probably a WWII bomb,"She needed open-heart surgery, but she was determined to help her team win a championship first",Milan-Cortina to host 2026 Winter Olympics,What is VAR? The Video Assistant Referee explained,'Don't be a coward.' Jeremy Hunt criticizes Boris Johnson for avoiding public scrutiny,Martin Fuchs clinches double GCT victory in Cascais
2019-06-25,The struggle was real for these WNBA players trying to get home after a game,Late Netherlands penalty breaks Japan's hearts at Women's World Cup,Jeremy Hunt tweets solo Q&A after Boris Johnson skips debate,Breakdancing moves one step closer to making the 2024 Olympics the raddest yet,Pink rainbows light up the sky over England,Trump blames 'the economics' for pay disparity between male and female soccer players,Boris Johnson is in denial about the reality of Brexit,"Spinach chemical should be put on doping ban list, say researchers",Meghan and Harry spent £2.4m of taxpayers' money on new home,Netherlands' emergency phone line went down -- and officials gave out the number for a newspaper instead
2019-06-26,Britain deploys new fighter jet for first time in a mission against ISIS,You can now vote for the 2019 MLB All-Star game starters,Migrant boat that defied order stopped off Italian island,Former NBA coach Don Nelson is now a marijuana farmer in Maui,Istanbul's new mayor says 'no individual or power' can threaten democracy,"Strange 'plasticrust' pollution found on rocks on Portuguese island of Madeira, scientists say",Germany's temperature record smashed as Europe's heat wave intensifies,Women's World Cup: Quarterfinals set to be 'wild and crazy',"Notre Dame fire could have been started by a cigarette or an electrical fault, prosecutors say",US soccer star Megan Rapinoe says she's 'not going to the f*****g White House' if the women's  team wins the World Cup
2019-06-27,The London Zoo is celebrating Pride month in honor of its gay penguins,Where all the top 2019 NBA free agents may sign this summer,Megan Rapinoe: 'I stand by the comments that I made about not wanting to go to the White House',"Meghan and Harry to visit South Africa, Angola and Malawi",MLB London Series: Baseball searches for 'legacy' with Red Sox and Yankees games,Women's World Cup: Fighting for equality one world record at a time,Two more suspects arrested after far-right supporter confesses to killing German pro-immigration politician,Angela Merkel seen shaking for second time in weeks,Two killed after Russian plane overshoots runway and bursts into flames,Global Champions Tour takes horse power to Monaco
2019-06-28,US beats France to reach Women's World Cup semifinals,Why the dunes at Trump's Scottish golf course may lose their protected status,France vs. USA: 'A magnificent showcase' for the Women's World Cup,Billie Jean King keen to talk to President Trump about equality,"Baseball royalty and rivalry, multiple World Cups and motor sports are ones to watch this weekend",Tom Brady posts a legendary selfie with retired rival Peyton Manning,"The end of liberalism? At the G20, Putin sides with the populists",Masai Ujiri: Why Toronto Raptor's president sees promise in Africa,"Washington cornerback Josh Norman donates $18,000 to immigrant detention center in Texas","Naomi Osaka, an icon of the new Japan"
